[2023-03-26 -- 17:35:53]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 17:35:56]: | 192.168.1.1 is up!
[2023-03-26 -- 18:01:33]: | 192.168.1.1 is up!
[2023-03-26 -- 18:01:33]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:01:55]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:01:56]: | 192.168.1.1 is up!
[2023-03-26 -- 18:03:10]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:03:11]: | 192.168.1.1 is up!
[2023-03-26 -- 18:04:37]: | 192.168.1.1 is up!
[2023-03-26 -- 18:04:37]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:05:06]: | 192.168.1.1 is up!
[2023-03-26 -- 18:05:06]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:06:32]:CloudFlare | 1.1.1.1 is down!
[2023-03-26 -- 18:06:43]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:36:25]: | 192.168.1.1 is up!
[2023-03-26 -- 18:36:25]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:36:50]: | 192.168.1.1 is up!
[2023-03-26 -- 18:36:50]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 18:38:58]:CloudFlare | 1.1.1.1 is down!
[2023-03-26 -- 18:39:10]: | 192.168.1.1 is down!
[2023-03-26 -- 18:39:22]: | 192.168.1.1 is up!
[2023-03-26 -- 18:39:39]:CloudFlare | 1.1.1.1 is up!
[2023-03-26 -- 19:45:49]:CloudFlare | 1.1.1.1 is down!
[2023-03-26 -- 19:45:54]:CloudFlare | 1.1.1.1 is up!
